DATAFLOW,MEASURE,INDEX,SECTOR,INDUSTRY,TSEST,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,BASE_PERIOD,OBS_STATUS,OBS_COMMENT
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2012-Q2,0.4,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2012-Q3,1.1,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2012-Q4,0.6,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2013-Q1,0.4,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2013-Q2,0.5,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2013-Q3,1,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2013-Q4,0.6,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2014-Q1,0.3,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2014-Q2,0.4,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2014-Q3,1.4,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2014-Q4,0.6,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2015-Q1,0,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2015-Q2,0.8,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2015-Q3,0.9,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2015-Q4,0.5,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2016-Q1,0.4,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2016-Q2,0,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2016-Q3,0.7,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2016-Q4,0.6,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2017-Q1,-0.1,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2017-Q2,0.8,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2017-Q3,0.6,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2017-Q4,0.6,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2018-Q1,0.5,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2018-Q2,0.6,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2018-Q3,0.9,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2018-Q4,0.7,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2019-Q1,0.5,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2019-Q2,0.4,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2019-Q3,1.4,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2019-Q4,0,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2020-Q1,0.1,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2020-Q2,0,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2020-Q3,0.6,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2020-Q4,0.4,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2021-Q1,0.8,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2021-Q2,0.1,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2021-Q3,0.8,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2021-Q4,1.2,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2022-Q1,0.4,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2022-Q2,0.9,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2022-Q3,1.6,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2022-Q4,0.8,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2023-Q1,0.7,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2023-Q2,0.6,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2023-Q3,2,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2023-Q4,0.7,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2024-Q1,1,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2024-Q2,0.2,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2024-Q3,1.7,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2024-Q4,0.7,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2025-Q1,0.8,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2025-Q2,0.4,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2025-Q3,1.8,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2025-Q4,0.2,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2026-Q1,0.5,,,,
ABS:WPI(1.2.0),2,THRPIB,1,TOT,10,AUS,Q,2026-Q2,0.4,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,1997-Q3,,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,1997-Q4,,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,1998-Q1,,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,1998-Q2,,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,1998-Q3,3.3,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,1998-Q4,3.1,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,1999-Q1,3.1,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,1999-Q2,3.1,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,1999-Q3,2.9,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,1999-Q4,3,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2000-Q1,2.9,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2000-Q2,2.9,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2000-Q3,3.3,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2000-Q4,3.4,,,,
